Merchant Transaction Free Text,Merchant Name
PAUL CAFE              DUBAI         AE,PAUL CAFE-KAREEM TRDG-
EMIRATES    1762152283 DUBAI         AE,EMIRATES
MARRIOTT               DUBAI         AE,ROOM SERV-JW MARRIOTT
CARS RENT A CAR        DUBAI         AE,CARS RENT A CAR -093001
HASSANI TRADING,
NAR CAFE               DUBAI         AE,NAR CAFE        -151121
BRITISH PETROLEUM COMPANY PTE,
SKIN JAM               DUBAI         AE,SKIN JAM
FARA A GENER CONTRACTING COMPANY LLC,
OMAN INSURANCE COOPERATING USD AC,
MARKETTE REST (CRAVING DUBAI         ARE,MARKETTE REST (CRAVING
HOUR CHOICE            DUBAI         AE,HOUR CHOICE
INGIE ETOILE READYMADE DUBAI         AE,INGIE ETOILE REA-132170
CENTRO BARSHA HOTEL-3C DUBAI         AE,CENTRO BARSHA 3C F/O
VERIZON FINANCIAL SERVICES LLC,
DHAFRA IRRIGATION SYSTEMS LLC,
TURKISH VILLAGE RESTAU DUBAI         AE,TURKISH VILLAGE RESTAU
FARIS EQUIPMENT RENTALS LLC,
THE WINCHESTER SCHOOL  DUBAI         AE,THE WINCHESTER SCHOOL
REAL 10 PHARMACY       DUBAI         AE,REAL 10 PHARMACY
MY DENTAL CLINIC LLC   DUBAI         AE,MY DENTAL CLINIC LLC
WURTH FINANCE INTERNATIONAL BV,
SHLLGB,
NANDOS UAE LLC         DUBAI         AE,NANDOS UAE LLC 7
SPINNEYS-JUMEIRAH VILL DUBAI         AE,SPINNEYS
EMIRATES    7623021336 DUBAI         AE,EMIRATES
CRAVIA INC LLC         DUBAI         AE,CRAVIA INC LLC  -717203
HYATT HOTELS-HYATT REG DUBAI         AE,HYATT HOTELS-HYATT REG
THE ITALIAN RESTAURANT DUBAI         AE,THE ITALIAN RESTAURANT
MEDIA ONE HOTEL        DUBAI         AE,MEDIA ONE HOTEL
HYATT HOTELS-HYATT REG DUBAI         AE,THE KITCHEN 2
APSARA SUPERMARKET LLC DUBAI         AE,APSARA SUPERMARK-032627
PAPA JOHNS             DUBAI         AE,PAPA JOHNS-6
COMPUTER DIRECT ACCESS LLC,
BALSAM DRUG AND MEDICA DUBAI         AE,BALSAM DRUG AND MEDICA
MONSOON                DUBAI         AE,MONSOON
STELIA AEROSPACE,
ALCHEMY GLOBAL TRADING LLC,
SKAIZAYA REALESTATE DEVELOPMENT LLC,
ZOOM MARKET 6578       DUBAI         AE,ZOOM MARKET 6578
UTH GENERAL TRADING LL DUBAI         AE,UTH GENERAL TRADING LL
JOMAIH AUTOMATIVE,
HIGHER CORP F S E ZONESZONESCORP,
NEURO SPINAL HOSPITAL,
NESPRESSO-MIRDIF CITY  DUBAI         AE,NESPRESSO-MIRDIF CITY
DFC ASSET SALES PROCCEDS ACCOUNT,
GULF PETROL SUPPLIES LIES LLC,
N,
AECOM MIDDLE EAST LIMITED,
AL SAYER-CARIBOU COFFE DUBAI         AE,AL SAYER-CARIBOU-821030
ONE DOT TO MEDIA COMPANY,
FIRAS SWEETS BR        DUBAI         AE,FIRAS SWEETS BR -497009
UNITED FURNITURE CO LL DUBAI         AE,UNITED FURNITURE-724901
OCEAN ENERGY LIMITED,
IBIS STYLE HOTEL JUMEI DUBAI         AE,IBIS STYLE HOTEL JUMEI
PORTMAN LIMITED,
COMBINED GROUP CONTRACTING,
AMITY HEALTH LLC,
ALLIED ENTERPRISES LLC DUBAI         AE,ALLIED ENTERPRIS-421026
ROOTS HOSPITALITY LLC  DUBAI         AE,ROOTS HOSPITALITY LLC
PRET A MANGER          DUBAI         AE,EMIRATES LEISURE RETAI
FONE PLUS LIMITED,
SHOE CITI (L.L.C.) BR  DUBAI         AE,SHOE CITI (L.L.C) BR
CRAVIA INC LLC         DUBAI         AE,CRAVIA INC LLC  -768901
CIENA COMMUNICATIONS INC,
AMERICAN HOSPITAL,
DUBAI MUNICIPALITY     DUBAI         AE,DUBAI MUNICIPALITY-3
ENGINEERING MAINTENANCE COMPANY,
AL YEMEN MANDI REST    DUBAI         AE,AL YEMEN MANDI REST
UNION COOPERATIVE SOCIETY,
THALES SYSTEMES AEROPORTES SAS,
HOMES R US TRADING LLC DUBAI         AE,HOMES R US TRADI-760703
SKY BLUE TRADING LLC   DUBAI         AE,SKY BLUE TRADING LLC
PARKERS RESTAURANT LLC DUBAI         AE,PARKERS RESTAURANT LLC
TALAL SUPERMARKET      DUBAI         AE,TALAL SUPER MARKET
RAPTOR COMPUTERS LLC   DUBAI         AE,RAPTOR COMPUTERS LLC
CARIBOU COFFEE         DUBAI         AE,CARIBOU COFFEE  -141019
GRAMO ITALIAN RESTAURA DUBAI         AE,GRAMO ITALIAN RE-737006
THAI CHAI              DUBAI         AE,THAI CHAI
KCH HEALTHCARE LLC,
SPLASH LLC             DUBAI         AE,SPLASH LLC      -102002
METRON ENERGY APPLICATIONS SA,
RASHID PHARMACY LLC    DUBAI         AE,RASHID PHARMACY LLC
STAR SERVICES,
DEPT OF THE PRESIDENTS AFFAIRS,
EMIRATES    KN6/24JAN2 DUBAI         AE,EMIRATES
POWER ELECTRONICS LLC  DUBAI         AE,POWER ELECTRONICS LLC
VEBES O AND M COMPANY,
RIMAL SALOON (BR)      DUBAI         AE,RIMAL SALOON (BR)
CAFE LAMBRETTA LLC     DUBAI         AE,CAFE LAMBRETTA LLC
SEA MAGIC RECREATIONAL DUBAI         AE,SEA MAGIC RECREATIONAL
DXB SPARE PARTS & SERV DUBAI         AE,DXB SPARE PARTS AND SE
DREAM PHARMACY         DUBAI         AE,DREAM PHARMACY
ELEMENTS CAFE          DUBAI         AE,ELEMENTS CAFE   -031089
VILEBREQUIN            DUBAI         AE,VILEBREQUIN
SUMO SUSHI & BENTO     DUBAI         AE,SUMO SUSHI & BENTO
MIDDLE EAST ENERGY FZCO,
AMERICAN EXPRESS EUROPE LIMITED,
BARAKAH ONE COMPANY,
ADNOC DISTRIBUTION,
AD TOURISM CUL AUTHORITY TSA SUB A C,
RED SHINE TEXTILE TRAD DUBAI         AE,RED SHINE TEXTIL-141204
FUTTAIM WILLIS COMPANY LLC,
ABU DHABI PORTS,
HAMPTONS RESTAURANT AN DUBAI         AE,HAMPTONS RESTAURANT AN
QALA DAHABIYAH GENER TRADING LLC,
PRINT STATION DMCC     DUBAI         AE,PRINT STATION DMCC
KFC DELMA MALL         DUBAI         AE,KFC DELMA MALL  -055816
GREEN FOODS RESTAURANT DUBAI         AE,GREEN FOODS REST-887402
ROYAL GARDENS AGRICULTURAL CONTRACTING LLC,
TELEKOM MALAYSIA BERHAD,
NEW AL QUOZ PHARMACY   DUBAI         AE,NEW AL QUOZ PHARMACY
APRONS AND HAMMERS RES DUBAI         AE,APRONS & HAMMERS RESTA
EMARAT-UMM SUQUIEM(485 DUBAI         AE,EMARAT-UMM SUQUEIM
ENOC MARKETING LLC,
ENOC-SITE NO-1052      DUBAI         AE,ENOC SITE NO 1052
PROMATE LIFESTYLE TECH DUBAI         AE,PROMATE TECHNOLOGIES F
DONNER EXPRESS REST.   DUBAI         AE,DONNER EXPRESS REST.
AHMED SEDDIQI & SONS   DUBAI         AE,AHMED SEDDIQUI & SONS
PALO ALTO NETWORKS FZ LLC,
AURIS INN AL MUHANNA H DUBAI         ARE,AURIS INN AL MUHANNA H
MAGNOLIA RESTAURANTS M DUBAI         AE,CALIBURGER IN UMM SUQE
KYPRIS HEAVY EQUIPMENT PARTS TRADING LLC,
DAYLIGHT RESTAURANTS M DUBAI         AE,VII DUBAI
ABU MOHAMMED SMOKING A DUBAI         AE,ABU MOHAMMED SMOKING-1
TSA SUB ACC CULTURE PR HERITCOM M,
TEBODIN MIDDLE EAST LIMITED,
LOYLOGIC INC,
ROYAL PANOOR RESTAURAN DUBAI         AE,ROYAL PANOOR RESTAURAN
NATIONAL CORPORATION,
CARREFOUR MARKET MARIN DUBAI         AE,CARREFOUR MARKET MARIN
ANGELUS TRADING FZC,
GULF COAST TYRES-DEIRA DUBAI         ARE,GULF COAST TYRES-DEIRA
EMIRATES    1762153667 DUBAI         AE,EMIRATES
SHARAF DG LLC          DUBAI         AE,SHARAF DG LLC   -711033
PAPPAROTI              DUBAI         AE,PAPPAROTI
DIFC INVESTMENTS LLC,
RAJU OMLET RESTAURANT  DUBAI         AE,RAJU OMLET RESTA-724702
ALITALIA SOCIETA AEREA ITALIANA S PA VIA ALBERTO NASSETTI N SNC FIUMICINO,
SHERATON DUBAI CREEK H DUBAI         AE,FRONT OFFICE 1
THE LIME TREE CAFE LLC DUBAI         ARE,THE LIME TREE CAFE LLC
GATE BETTER LIFE PHARM DUBAI         ARE,GATE BETTER LIFE PHARM
JW MARRIOTT HOTELS & R DUBAI         AE,ACCOUNTS 2-JW MARRIOTT
MIRDIF PHARMACY LLC    DUBAI         AE,MIRDIF PHARMACY LLC
PUBLIC CAFE JLT        DUBAI         ARE,PUBLIC CAFE JLT
IMPERIAL SUITS HOTEL   DUBAI         AE,HANG OUT-IMPERIAL SUIT
HOME CENTRE GULF LLC   DUBAI         AE,HOME CENTRE GULF-090701
LE MERIDIEN JUMEIRA BE DUBAI         AE,MAYA 01
PHILIPS LIGHTING HOLDING BV,
AL JABER OPTICAL CENTR DUBAI         AE,AL JABER OPTICAL CTR
SHOE MART LLC          DUBAI         AE,SHOE MART LLC   -050502
ARMADA HOTEL JLT       DUBAI         AE,ARMADA HOTEL JLT
CRAVIA INC LLC         DUBAI         AE,CRAVIA INC LLC  -051968
URANUS TRAVEL & TOURS  DUBAI         AE,URANUS TRAVEL & TOURS
HAJI ALI JUICE CENTRE  DUBAI         AE,HAJI ALI JUICE CENTER
ANGELINA REST-CRAVINGS DUBAI         AE,ANGELINA REST-CRAVINGS BR
AL HAKAWATI CAFE       DUBAI         AE,AL HAKAWATI CAFE 1
NOVOTEL WORLD TRADE CN DUBAI         AE,NOVOTEL WORLD TRADE CE
AL KANZ JEWELLERY      DUBAI         AE,AL KANZ JEWELLERS LLC
AL SAYER RETAIL ESTABL DUBAI         AE,AL SAYER RETAIL -051129
SEDCO FOREX INTERNATIONAL INC,
PHOTO ONE CO LLC       DUBAI         AE,PHOTO ONE CO LLC-243804
BIELLA ITALIAN CAFE    DUBAI         AE,BIELLA CAFE
FUDDRUCKERS            DUBAI         AE,FUDDRUCKERS-AL GARHOUD
PETRO DIAMOND COMPANY LIMITED,
ZAROOB RESTAURANT AND  DUBAI         AE,ZAROOB RESTAURANT AND
ELSEVIER FINANCE SA,
METRO AG,
PARIS GALLERY          DUBAI         AE,PARIS GALLERY MCC
CAESARS REST-MANKHOOL  DUBAI         AE,CAESARS REST-MANKHOOL
PEARL RIVER DELTA TRADING HONG KONG LIMITED,
EMARAT-HASSA (4855)    DUBAI         AE,EMARAT-HASSA (4855)
CRITICAL INFRASTRUCTURE,
KERZNER INTERNATIONAL MANAGEMENT FZ LLC,
DNATA                  DUBAI         AE,DNATA MARHABA
JABER TRANSPORT GENER CONTRACTING LLC,
LAGAUFRETTE (LLC) B047 DUBAI         ARE,LAGAUFRETTE (LLC) B047
IBM INTERNATIONAL TREASURY SERVIC ES UN LIMITED,
NAILICIOUS CLUB        DUBAI         AE,NAILICIOUS CLUB
QUICKPAY DUMMY CENTRAL INWARDS U NITED ARAB EMIRATE,
FLYING COLOURS COPY SE DUBAI         AE,FLYING COLOURS COPY SE
MIELE APPLIANCES AG,
LULU HYPERMARKET-BARSH DUBAI         AE,LULU HYPERMARKET-4
CENTER LI PHYSIOTHERAP DUBAI         AE,CENTER LI PHYSIO-220519
AIRCOM MEA FZ LLC,
AURIS PLAZA HOTEL-AL B DUBAI         AE,AURIS PLAZA HOTEL-AL BARS
ALETIHAD CREDIT BUREAU DUBAI         AE,ALETIHAD CREDIT BUREAU
NAMETESOURO NACIONAL DE ANGOLA ADRESSLARGO DA MUTAMBA SNR CITYLUANDA COUNTRYANGOLA,
NBAD AIRPORT TRANSFER  DUBAI         AE,NBAD AIRPORT TRANSFER
DUBAI HOSPITAL         DUBAI         AE,DUBAI HOSPITAL
QAZAQ AIR JSC,
GOLDMAN SACHS AND COMPANY,
SONIC TRAVEL ANDTOURS  DUBAI         AE,SONIC TRAVEL AND-084726
RRPF ENGINE LEASING LIMITED,
SEAFARER'S BAR & KITCH DUBAI         AE,SEAFARER'S BAR & KITCH
VEOLIA ENVIRONNEMENT,
EMAX                   DUBAI         AE,EMAX            -710912
BARAN RESTAURANT & CAF DUBAI         AE,BARAN RESTAURANT & CAFE
PEARLOIL SEBUKU LIMITED,
WADI AL ARAYESH RESTAU DUBAI         AE,WADI AL ARAYESH RESTAURAN
CAPITA PLC,
IDT GLOBAL LIMITED,
SAMSUNG ENGINEERING COMPANY SAMSUNG ENGINEERING GEC,
BURJ AL ARAB           DUBAI         AE,JUNSUI1- BAA
NOKIA CORPORATION,
AIN OILFIELD SERVICES COMPANY LLC,
AL SAYER RETAIL ESTABL DUBAI         AE,AL SAYER RETAIL -477024
DUBAI OPERA LLC        DUBAI         AE,DUBAI OPERA LLC
ALLIED ENT LLC-THE DEA DUBAI         AE,ALLIED ENT LLC-T-152140
PRYSMIAN TREASURY SRL,
EMBASSY OF THE UNITED ARAB,
HEALTH BAY POLYCLINIC- DUBAI         AE,HEALTH BAY POLYCLINIC-BR
CITY CORNER SUPERMARKE DUBAI         AE,CITY CORNER SUPERMARKET
PHOTO MAGIC INTL LLC   DUBAI         AE,PHOTO MAGIC INTL
AUTOMOTIVE MANA,
HI PHONE TELECOM       DUBAI         AE,HI PHONE TELECOM-12
ORIGINAL WINGS AND RIN DUBAI         AE,ORIGINAL WINGS AND RIN
SLIDER STATION         DUBAI         AE,SLIDER STATION
BLUE DENTAL CLINIC9753 DUBAI         ARE,BLUE DENTAL CLINIC9753
RMAL HOSPITALITY PSC   DUBAI         AE,RMAL HOSPITALITY PSC
GGI ENTERTAINMENT GEN  DUBAI         ARE,GGI ENTERTAINMENT GEN
AIRBUS OPERATIONS SAS,
SHARAF DG LLC          DUBAI         AE,SHARAF DG LLC   -050556
CARS TAXI SERVICES CO  DUBAI         AE,CARS TAXI
MEDICLINIC CITY HOSPIT DUBAI         AE,MEDICLINIC CITY -832902
AL LIALI JEWELLERY LLC DUBAI         AE,AL LIALI JEWELLERY LLC
TRINITY INFOTECH LL119 DUBAI         ARE,TRINITY INFOTECH LL119
ADYARD ABU DHABI LLC,
VODAFONE GMBH,
KHARAFI NATIONAL COMPANY LLC,
MISTER FRESH HYPERMARK DUBAI         AE,MISTER FRESH HYPERMARK
LIFE HEALTHCARE GROUP  DUBAI         AE,LIFE HEALTHCARE -821407
HAKKASAN HOLDINGS LLC,
DAMAS JEWELLERY LLC    DUBAI         AE,DAMAS JEWELLERY -138113
PCFCTRAKHEES,
ALPHA TOURS LLC,
GATEAUX LLC            DUBAI         AE,GATEAUX LLC
JLT SPECIALTY LIMITED,
AL RAYA  HOTEL APARTME DUBAI         AE,AL RAYA  HOTEL APARTMENT
MMI-LE CLOS CONCOURSE  DUBAI         AE,MMI-LE CLOS CONCOURSE
RILAM PROPERTY MANAGEMENT LLC,
THE TRUST COMPANY AUSTRALIA LIMITED,
NATURES LIFE PHARMACY  DUBAI         AE,NATURE'S LIFE PHARMACY
KEMPINSKI HOTEL        DUBAI         AE,KEMPINSKI HOTEL
ZOOM MARKET 6583-REGAL DUBAI         AE,ZOOM MARKET 6583-REGAL
MADINATALKAUSAR PHARMA DUBAI         AE,MADINATALKAUSAR -714402
SCHOLARSHIPS OFFICE,
KHALTAT PERFUMES       DUBAI         AE,KHALTAT PERFUMES
STARBUCKS -4235        DUBAI         AE,STARBUCKS -4235 -041010
VFS(GCC)LLC            DUBAI         AE,VFS (GCC)LLC
VIRAJ LUXURY CAR RENTA DUBAI         AE,VIRAJ LUXURY CAR RENTALS
GIORDANO FASHION       DUBAI         AE,GIORDANO FASHION-263590
GE ENERGY FZE,
THE PALACE DOWNTOWN DX DUBAI         ARE,THE PALACE DOWNTOWN DX
MERCK FINANCIAL,
BYBLOS HOTEL FZ-LLC    DUBAI         AE,BYBLOS HOTEL FZ-LLC
AXA INSURANCE          ABU DHABI     AE,AXA INSURANCE 3
US DISBURSING OFFICER SYMBOL WIRELESS ROAD,
DAISO(JAPAN)VALUE STOR DUBAI         AE,DAISO(JAPAN)VALU-170741
VFS GCC LLC            DUBAI         AE,VFS GCC LLC     -058210
YO SUSHI (BR OF GOURME DUBAI         AE,YO SUSHI (BR OF GOURME
HKT GLOBAL SINGAPORE PTE,
BURJ AL ARAB           DUBAI         AE,SCAPE POOL 3
ADNH COMPASS ME LLC,
COSTA COFFEE           DUBAI         AE,COSTA COFFEE 7
SEHA BE SKMC ACCOUNT,
EUROPCAR DUBAI         DUBAI         AE,DUBAI RENT A CAR 2
NATIONAL GENERAL INSUR DUBAI         AE,NATIONAL GENERAL INS
LEWA SHIP AUTO SPARE P DUBAI         AE,LEWA SHIP AUTO SPARE PART
MCFC LIMITED,
THE EMIRATES GENERAL TRANSPORT,
DEUTSCHE TELEKOM AG,
JBR SHAMS PHARMACY EST DUBAI         AE,JBR SHAMS PHARMACY EST
CRAVIA INC LLC         DUBAI         AE,CRAVIA INC LLC  -767401
BLOOM PROPERTIES LLC,
GHUBASH TRADING,
JW DXB MARQUIS         DUBAI         AE,PRIME 68 1-JW MARRIOTT
SAUDI GERMAN HOSPITAL( DUBAI         AE,SAUDI GERMAN HOSPITAL
PLATINUM CHOICE READYM DUBAI         AE,PLATINUM CHOICE READYMADE
NOON & KABAB REST      DUBAI         AE,NOON O KABAB 1
TDICSAADIYAT ISLAND WIDE POLICE S T,
IATABSP HINGE OVERDRAFT,
BBME AN TELEC MUNICATIONS COMPANY SAOG,
ALLIED ENTERPRISE-TANA DUBAI         AE,ALLIED ENTERPRIS-717004
LOOTAH PERFUMES &INCEN DUBAI         AE,LOOTAH PERFUMES &INCENSE
ADIDAS EMERGING MARKET DUBAI         AE,ADIDAS EMERGING -041415
LOUIS VUITTON MIDDLE EAST FZCO,
I STYLE COMPUTERS LLC  DUBAI         AE,I STYLE COMPUTERS 1
BOROUGE PTE,
MIDDLE EAST METALS FZCO,
PROCTER AND GAMBLE FINANCIAL,
THOMSUN TRADING EST    DUBAI         AE,THOMSUN TRADING EST
BAKER AND SPICE RESTAU DUBAI         AE,BAKER AND SPICE -241161
GALADARI ICE CREAM CO  DUBAI         AE,GALADARI ICE CRE-561009
CIRCLE K               DUBAI         AE,CIRCLE K INT'L 14
DUBAI GOLF LLC         DUBAI         AE,DUBAI GOLF LLC  -845201
CITY PHARMACY COMPANY,
ADMA OPCO,
DAY ONE TRADING LLC,
DAR SHARES AND BONDS,
RAMLA HYPER EXPRESS LL DUBAI         AE,RAMLA HYPERMARKET 1
AE950330000019040000114 CCAM PENDING APPROPRIATIONAED MASHREQ BANK HEAD OFFICE POBOX 1250 U,
NAEL GENERAL CONTRACTING ESTABLISHMENT,
NABOODAH CONTRACTING COMPANY LLC,
PARTY ZONE LLC         DUBAI         AE,PARTY ZONE LLC
HALCROW INTERNATIONAL PARTNERSHIP,
AL TAYER MOTORS LLC    DUBAI         AE,AL TAYER MOTORS -828010
UAE JIUJITSU FEDERATION,
DRAGONFLY BY TIM RAUE  DUBAI         AE,DRAGONFLY BY TIM RAUE
THE PROVEDORE CAFE AND DUBAI         AE,THE PROVEDORE CAFE AND
PARK N SHOP JLT        DUBAI         AE,PARK N SHOP JLT
EMIRATES    1762197709 DUBAI         AE,EMIRATES
B A M RESTAURANT LLC   DUBAI         AE,B A M RESTAURANT-474729
WEATHERFORD BIN HAMOODAH COMPANY LLC,
ALFUTTAIM TOYOTA19     DUBAI         ARE,ALFUTTAIM TOYOTA19
AL SHAMI RESTAURANT    DUBAI         AE,AL SHAMI RESTAURANT
QATAR INSURANCE CO     DUBAI         AE,QATAR INSURANCE CO.
REACH EMPLOYMENT SERVICES LLC,
GULF FILM LLC          DUBAI         AE,GULF FILM LLC   -791101
WILMAR TRADING PTE,
TRISTAR ENGINEERING AND,
COSI AL TAYER TRENDS L DUBAI         AE,COSI AL TAYER TR-761026
MAX ELECTRONICS LLC    DUBAI         AE,MAX ELECTRONICS -540901
EMIRATES FLIGHT CATERING COMPANY LLC,
OIL AND NATURALGAS CORPORATION LIMITED,
ANANTARA HOTEL PALM JU DUBAI         AE,SPA
MITSUI OSK LINES LIMITED,
MARRIOTT               DUBAI         AE,KITCHEN 6
RAMADA DEIRA HOTEL LLC DUBAI         ARE,RAMADA DEIRA HOTEL LLC
FIDA  GENERAL TRADING  DUBAI         AE,FIDA  GENERAL TR-224806
JUPITER ALQUSAIS POLY  DUBAI         AE,JUPITER ALQUSAIS POLY CLI
INTELTEC EMIRATES LLC,
WORLDS WINDOW IMPEX INDIA PRIVATE,
PREMIER INN HOTELS LLC ABU DHABI     AE,PREMIER INN HOTELS 3
EM SHERIF RESTAURANT L DUBAI         AE,EM SHERIF RESTAURANT L
BB UDI TELECOMMUNICATION COMPANY,
MAX ELECTRONICS LLC    DUBAI         AE,MAX ELECTRONICS -131929
TORO+KO                DUBAI         AE,TORO+KO
YIN YANG CONNECTION MA DUBAI         AE,YIN YANG CONNECTION
ABB AUTOMATION LLC,
EMIRATES    7621998123 DUBAI         AE,EMIRATES
FRENCH BAKERY LLC      DUBAI         AE,FRENCH BAKERY LLC
ALLONS-Y JLT           DXB           AE,ALLONS-Y JLT
SOUTH CUISINE RESTAURA DUBAI         AE,SOUTH CUISINE RE-245604
E D F MAN SUGAR LIMITED,
CARREFOUR CITY SPORT C DUBAI         AE,CARREFOUR CITY SPORT C
ALFARDAN EXCHANGE,
AL GHANDI AUTO         DUBAI         AE,AL GHANDI AUTO  -822311
NATXFRPPMAR,
ROYAL CONTINENTAL HOTE DUBAI         ARE,ROYAL CONTINENTAL HOTE
GLAXOSMITHKLINE FINANCE PLC,
RIXOS THE PALM HOTEL-R DUBAI         AE,RIXOS THE PALM HOTEL
SCHAEFFLER AG,
EMIRATES MOTOR,
ALLIED ENTERPRISES LLC DUBAI         AE,ALLIED ENTERPRIS-052052
DAREEN INTL LLC BR CC4 DUBAI         AE,DAREEN INTL LLC -254810
CHARLEY'S GRILLED SUBS DUBAI         AE,CHARLEY'S GRILLED SUBS
HOME CENTRE GULF LLC   DUBAI         AE,HOME CENTRE GULF-070712
HOTLINE MOBILE PHONE L DUBAI         AE,HOTLINE MOBILE PHONE LLC
ALBADIE TRAVEL AGENCY  ABU DHABI     AE,AL BADIE TRAVEL
APPAREL LLC            DUBAI         AE,APPAREL LLC     -200301
EMIRATES               ABU DHABI     AE,EMIRATES
FRESHFIELDS BRUCKHAUS DERINGER LLP,
LONDON INTERNATIONAL EXHIBITION CEN THE SECRETARYEXCEL LONDON E,
M S PARSONS INTERNATIONAL LIMITED,
EMIRATES    1762100203 DUBAI         AE,EMIRATES
ETISALAT DUBAI 2       DUBAI         AE,ETISALAT DUBAI 2
BEIRUT RESTAURANT & GR DUBAI         AE,BEIRUT RESTAURANT & GR
SHAKESPEARE & CO       DUBAI         AE,SHAKESPEARE & CO 12
LEGACY HOTEL APARTMENT DUBAI         AE,LEGACY HOTEL APARTMEN
DUBAI OPTICAL          DUBAI         AE,DUBAI OPTICALS
OILIBYA AVIATION FUELS SUPPLIES LY DMCC,
CONSORT BUNKERS PTE,
THE GEEK RESTURAUNT LL DUBAI         AE,THE GEEK RESTURAUNT LLC
REAL PILATES           DUBAI         AE,REAL PILATES
MBDA FRANCE,
HABTOOR MOTO,
PONNUSAMY RESTAURANT L DUBAI         AE,PONNUSAMY RESTAURANT LLC
CROWNE PLAZA HOTEL     DUBAI         AE,CROWNE PLAZA HOTEL
LIDO RESTAURANT & CAFE DUBAI         AE,LIDO RESTAURANT -061094
KOREA ELECTRIC POWER,
KACHINS TAILORS        DUBAI         AE,KACHINS TAILORS
CSEH INVESTMENT LLC,
PIDDS 3D LIVING FZ LLC DUBAI         AE,PIDDDS 3D LIVING FZ LL
BRANDS FOR LESS LLC BR DUBAI         AE,BRANDS FOR LESS -673502
LINKEDIN MIDDLE EAST FZ LLC,
AIR SEYCHELLES LIMITED,
EMIRATES OF ABU DHABI CROWN,
TECOM INVESTMENTS LLC,
BB UDI GRAINS AND FODDER HOLDING COMPANY,
I-FLY                  DUBAI         AE,I FLY
ELECTRICAL LIGHTING880 DUBAI         ARE,ELECTRICAL LIGHTING880
AL TAYER MOTORS LLC    DUBAI         AE,AL TAYER MOTORS -478028
MP MALAYSIA B LIMITED,
LEVIS 2                DUBAI         AE,LEVIS 2
UNITED NATIONS EAST ND,
TEMASEK LLC DOME CAFE  DUBAI         AE,TEMASEK LLC DOME-501007
ADCO ADCO DIRHAM ACCOUNT,
MUBADALA DEVELOPMENT,
CARREFOUR HO           DUBAI         AE,CARREFOUR HO
ROCHE FINANZ AG,
THE BODY SHOP (MOE)    DUBAI         AE,THE BODY SHOP (MOE)
DOLLAR RENT A CAR      DUBAI         AE,DOLLAR RENT A CAR
JUMEIRAH GOLF ESTATES  DUBAI         AE,PROSHOP
ALLIED ENTERPRISES LLC DUBAI         AE,ALLIED ENTERPRIS-054841
CARNIVAL BY TRESIND    DUBAI         AE,CARNIVAL BY TRESIND
FIRST FOOD SRVS LLC-BU DUBAI         AE,FIRST FOOD SRVS -761001
AL TAYER MOTORS LLC    DUBAI         AE,AL TAYER MOTORS -508003
REEM AL BAWADI REST(BR DUBAI         AE,REEM AL BAWADI REST(BR3)
CANADIAN SOLAR EMEA GMBH,
ETIHADAIR              ABU DHABI     AE,ETIHAD AIRWAYS
P AEROSPACE LIMITED,
AL JABER OPTICAL CENTR DUBAI         AE,AL JABER OPTICAL CENTR
RAJESH TRADING CO LLC  DUBAI         AE,RAJESH TRADING CO LLC
EMARAT-SAFA PARK (1605 DUBAI         AE,SAFA PARK - 1605
MCDONALDS-DXB AIRPORT  DUBAI         ARE,MCDONALDS-DXB AIRPORT
JOINT STOCK COMPANY,
AZHAR AL MADINA HYPER  DUBAI         AE,AZHAR AL MADINA -725202
SAFFRON FASHION        DUBAI         AE,SAFFRON FASHION
ATANA HOTEL FZ LLC     DUBAI         AE,ATANA HOTEL FZ LLC
SUCRES ET DENREES,
OCEANA BEACH CLUB      DUBAI         AE,OCEANA BEACH CLUB
E MOVERS LLC           DUBAI         AE,E-MOVERS LLC
T. CHOITHRAM & SONS    AJMAN         AE,T.CHOITHRAM & SONS 4
AL SAMADI REST.        DUBAI         ARE,AL SAMADI REST.
ATANA HOTEL FZ LLC     DUBAI         ARE,ATANA HOTEL FZ LLC
ROSALIAH PERFUMES      DUBAI         AE,ROSALIAH PERFUMES
MAX ELECTRONICS LLC    DUBAI         AE,MAX ELECTRONICS -171163
REVIVAL RESTAURANT LLC DUBAI         AE,REVIVAL RESTAURA-030167
DYNCORP INTERNATIONAL LLC,
THE ELS CLUB           DUBAI         AE,THE ELS CLUB
OCP SA,
UNION COOP             DUBAI         AE,UNION COOP      -155705
K LYNN LINGERIE        DUBAI         AE,K LYNN LINGERIE -762018
FIRST SELECT EMPLOYMENT SERVICES,
SANAD AERO SOLUTIONS GMBH,
VCARE PHARMACY LLC     DUBAI         AE,VCARE PHARMACY LLC
TURAB BHAI TRADING CO  DUBAI         AE,TURAB BHAI TRADI-726704
DUBAI MUNICIPALITY,
CONSULATE OF UKRAINE.D DUBAI         AE,CONSULATE OF UKRAINE.DXB
INNOVATION EMPLOYMENT SERVICES,
SHOE TREE LLC          DUBAI         AE,SHOE TREE LLC   -760547
JUMBO ELECTRONICS CO L DUBAI         AE,JUMBO ELECTRONIC-030961
SWARNA JEWELLERS LLC   DUBAI         AE,SWARNA JEWELLERS-481711
BUGIS INVESTMENTS MAURITIUS PTE,
PRAXAIR INTERNATIONAL FINANCE UNL IMITED COMPANY,
A TELEKOM AUSTRIA AG,
