Merchant Transaction Free Text (Input),Merchan name ,Address,Phone,Google Review,Website URL ,Direction URL 
GEMS WINCHESTER SCHOOL DUBAI AE,GEMS Winchester School,"Address: Oud Metha Road,Oud Metha,Bur Dubai - Dubai - United Arab Emirates ",Phone:  +971 4 337 4112,,http://www.gemswinchesterschool-dubai.com/,https://www.google.com/search?source=hp&ei=ciuSXP-kBoO4jwSpzYXwCA&q=GEMS+WINCHESTER+SCHOOL+DUBAI+AE&oq=GEMS+WINCHESTER+SCHOOL+DUBAI+AE&gs_l=psy-ab.3...1461.1777..1803...0.0..0.0.0.......0....1..gws-wiz.....0.#
WALDORF ASTORIA HOTEL DUBAI AE,Waldorf Astoria Dubai Palm Jumeirah,Address: Crescent Rd - Dubai - United Arab Emirates ,Phone:  +971 4 818 2222,"4.6 1,724 Google reviews",http://waldorfastoria3.hilton.com/en/hotels/uae/waldorf-astoria-dubai-palm-jumeirah-DXBPDWA/index.html?WT.mc_id=zELWAKN0EMEA1WA2DMH3LocalSearch4DGGenericx6DXBPDWA,https://www.google.com/search?source=hp&ei=fiuSXMKEF4HmjwTasZnoDw&q=WALDORF+ASTORIA+HOTEL+DUBAI+AE&oq=WALDORF+ASTORIA+HOTEL+DUBAI+AE&gs_l=psy-ab.3...1378.1672..1694...0.0..0.0.0.......0....1..gws-wiz.....0.#
ROYAL MIRAGE HOTEL,OYO 2201 Hotel Royal Mirage,"Address: WZ - 107A, Rishi Nagar, Rani Bagh Near Shakurbasti Railway Station, Pitampura, New Delhi, Delhi 110034 ",Phone:  070650 67403,3.4 332 Google reviews,https://www.oyorooms.com/2935?utm_source=Google_gmb&utm_medium=Organic&utm_campaign=DEL295,https://www.google.com/search?source=hp&ei=jCuSXJSuAoGmjwTEpKPIAQ&q=ROYAL+MIRAGE+HOTEL&oq=ROYAL+MIRAGE+HOTEL&gs_l=psy-ab.3...1391.1909..2009...0.0..0.0.0.......0....1..gws-wiz.....0.#
MICROTOP TRADING FZE,Microtop Computer Company LLC,Address: 17 31 St - Dubai - United Arab Emirates Hours: Open now · Add full hours  ,Phone:  +971 4 351 0666,,,https://www.google.com/search?source=hp&ei=mCuSXKzOJMaMjwScsY64Bg&q=MICROTOP+TRADING+FZE&oq=MICROTOP+TRADING+FZE&gs_l=psy-ab.3..0i22i30l2.1641.2269..2464...0.0..0.350.1313.2-1j3......0....1..gws-wiz.....0.b5OY-5bJ788#
VIVALTO SANTE HOLDING,,,,,,
PPM CONRAD HOTEL DUBAI DUBAI AE,Conrad Dubai,Address: Sheikh Zayed Rd - Dubai - United Arab Emirates ,Phone:  +971 4 444 7444,"4.4 3,531 Google reviews",http://conradhotels3.hilton.com/en/hotels/uae/conrad-dubai-DXBCDCI/index.html?WT.mc_id=zELWAKN0EMEA1CI2DMH3LocalSearch4DGGenericx6DXBCDCI,https://www.google.com/search?source=hp&ei=riuSXJPtOvDMjgT9srhQ&q=PPM+CONRAD+HOTEL+DUBAI+DUBAI+AE&oq=PPM+CONRAD+HOTEL+DUBAI+DUBAI+AE&gs_l=psy-ab.3...1636.1930..1960...0.0..0.0.0.......0....1..gws-wiz.....0.#
LEMON GRASS THAI RESTR DUBAI AE,,,,,,
AXIOM TELECOM DUBAI AE,,,,,,
ADCO DOLLAR ACCOUNT,,,,,,
ASTER GRAND PHARMACY L DUBAI AE,Aster (Grand Nahda),"Address: Opposite Karachi Darbar Restaurant, Amman street, Al Nahda-1 - Dubai - United Arab Emirates Hours: Open ⋅ Closes 11:30PM  ",Phone:  +971 4 250 5712,4.2 9 Google reviews,http://www.asterpharmacy.com/,https://www.google.com/search?source=hp&ei=7SuSXOOzFuv-jwT6lJbwDg&q=ASTER+GRAND+PHARMACY+L+DUBAI+AE&oq=ASTER+GRAND+PHARMACY+L+DUBAI+AE&gs_l=psy-ab.3...1545.1851..1880...0.0..0.0.0.......0....1..gws-wiz.....0.#
AL MAYA APPAREL LLC DUBAI AE,,,,,,
PERI LLC,PERI LLC,Address: Palace Towers - Dubai - United Arab Emirates Hours: Closes soon: 5PM ⋅ Opens 7:30AM Thu  ,Phone:  +971 4 326 2992,4.1 19 Google reviews,http://www.peri.ae/,https://www.google.com/search?source=hp&ei=ASySXOn5KJaRjwTN_oKQAg&q=PERI+LLC&oq=PERI+LLC&gs_l=psy-ab.3...1368.1436..1456...0.0..0.0.0.......0....1..gws-wiz.....0.#
SAYEDAH RESTAURANTS DUBAI AE,,,,,,
PARMAR TOURISM LLC DUBAI AE,Parmar Tourism LLC,"Address: 25-C Street, Al Souk Al Kabeer, Meena Bazaar، Opp. Atithi Restaurant, Bur Dubai - Dubai - United Arab Emirates Hours: Open ⋅ Closes 10PM  ",Phone:  +971 4 386 9622,3.7 21 Google reviews,http://parmartour.com/,https://www.google.com/search?source=hp&ei=cCySXMnFBqrJjwSJ65KIBQ&q=PARMAR+TOURISM+LLC+DUBAI+AE&oq=PARMAR+TOURISM+LLC+DUBAI+AE&gs_l=psy-ab.3...1434.1747..1774...0.0..0.0.0.......0....1..gws-wiz.....0.#
BB LEM ALMUZAINI,,,,,,
PLAY REST AND LOUNGE DUBAI AE,PLAY Restaurant & Lounge,"Address: The H Hotel Dubai Floor 36, Office Tower One Sheikh Zayed Road - Dubai - United Arab Emirates Hours: Closed ⋅ Opens 6PM  ",Phone:  +971 4 336 4444,4.3 336 Google reviews,http://playrestaurants.com/,https://www.google.com/search?source=hp&ei=hyySXIPsBIaMjwT4yoawAw&q=PLAY+REST+AND+LOUNGE+DUBAI+AE&oq=PLAY+REST+AND+LOUNGE+DUBAI+AE&gs_l=psy-ab.3...1557.1926..1956...0.0..0.0.0.......0....1..gws-wiz.....0.#
CARREFOUR DUBAI AE,,,,,,
PROCUREMENT COMPANY SAL OFFSHORE ABU DHABI CONSOLIDATED CONTRACTING E NGINEERING,,,,,,
RICH AND FAMOUS TRADIN DUBAI AE,Rich and Famous Trading llc,"Address: W.H No 13, Next to Future World & Opp. Flying Elephant - United Arab Emirates ",Phone:  +971 4 347 7334,,,https://www.google.com/search?source=hp&ei=qiySXJTnJqbRjwSDuo-ADQ&q=RICH+AND+FAMOUS+TRADIN+DUBAI+AE&oq=RICH+AND+FAMOUS+TRADIN+DUBAI+AE&gs_l=psy-ab.3...1475.2090..2129...0.0..0.0.0.......0....1..gws-wiz.....0.#
HELENA ELECTRONICS TRADING LLC,,,,,,
KHATIB AND ALAMI,Khatib & Alami Engineering Consultants Private Limited,"Address: Ashok Vihar, 45, Magrath Rd, Ashok Vihar, Richmond Town, Bengaluru, Karnataka 560025 Hours: Closes soon: 6PM ⋅ Opens 9AM Thu  ",Phone:  080 6146 9200,4.2 38 Google reviews,http://www.khatibalami.com/,https://www.google.com/search?source=hp&ei=wiySXKSuMIvCjgScoZrwCw&q=KHATIB+AND+ALAMI&oq=KHATIB+AND+ALAMI&gs_l=psy-ab.3...1527.1772..1803...0.0..0.0.0.......0....1..gws-wiz.....0.#
EMIRATES 1762195564 DUBAI AE,,,,,,
EMIRATES 7623105161 DUBAI AE,,,,,,
PARKER DRILLING OVERSEAS BV,Parker Drilling Overseas B.V.,"Address: Paasheuvelweg 16, 1105 BH Amsterdam, Netherlands Province: North Holland ",Phone:  +31 20 564 6160,,,https://www.google.com/search?source=hp&ei=9CySXIicBoW6jwSxrLiYBg&q=PARKER+DRILLING+OVERSEAS+BV&oq=PARKER+DRILLING+OVERSEAS+BV&gs_l=psy-ab.3...1528.2064..2100...0.0..0.0.0.......0....1..gws-wiz.....0.#
OPERATION FALAFEL REST DUBAI AE,,,,,,
AAFAQ HOLDING LLC,,,,,,
EMIRATES MOTOR COMPANYEMC SHOWROOM,,,,,,
WILMAR SUGAR PTE,Wilmar Sugar Pte. Ltd.,,,,,
MADINAT JUM FB DUBAI AE,Madinat Jumeirah,"Description Madinat Jumeirah the Arabian Resort - Dubai is a luxurious 5 star resort in Dubai. It is the largest resort in the Emirate, spreading across over 40 hectares of landscapes and gardens. It is designed to resemble a traditional Arabian town. Wikipedia Address: 6 King Salman Bin Abdulaziz Al Saud St - Dubai - United Arab Emirates ",Phone:  +971 4 366 8888,"4.7 2,698 Google reviews",http://www.jumeirah.com/en/hotels-resorts/dubai/madinat-jumeirah/?utm_source=google&utm_medium=google%20places&utm_campaign=hotel,https://www.google.com/search?source=hp&ei=NS2SXMP2JumsjwSHlYnYCg&q=MADINAT+JUM+FB+DUBAI+AE&oq=MADINAT+JUM+FB+DUBAI+AE&gs_l=psy-ab.3...1472.1676..1696...0.0..0.0.0.......0....1..gws-wiz.....0.#
GAZEBO RESTAURANT DUBAI AE,,,,,,
GULF GREETINGS GEN TRD DUBAI AE,Gulf Greetings General Trading LLC,Address: Cluster I Sheikh Zayed Road - Dubai - United Arab Emirates ,Phone:  +971 4 347 1174,5.0 1 Google review,http://www.gulfgreetings.net/ggsite/,https://www.google.com/search?source=hp&ei=Sy2SXKzCJ4nijwSNv66gBA&q=GULF+GREETINGS+GEN+TRD+DUBAI+AE&oq=GULF+GREETINGS+GEN+TRD+DUBAI+AE&gs_l=psy-ab.3...1485.2059..2126...0.0..0.0.0.......0....1..gws-wiz.....0.#
ABU DHABI WTR ELECTRIC AUTHORITY,Abu Dhabi Water and Electricity Authority,Address: Al Falah St - Abu Dhabi - United Arab Emirates Hours: Closed ⋅ Opens 7AM Thu  ,Phone:  +971 2 694 3333,3.8 22 Google reviews,http://www.adwec.ae/Contact.html,https://www.google.com/search?source=hp&ei=Vy2SXOuQHemkjwSyl6qgAg&q=ABU+DHABI+WTR+ELECTRIC+AUTHORITY&oq=ABU+DHABI+WTR+ELECTRIC+AUTHORITY&gs_l=psy-ab.3...1470.1916..2008...0.0..0.0.0.......0....1..gws-wiz.....0.#
BAIT AL BATTERJEE MEDICAL COMPANY DUBAI BRANCH,Al Batterjee Trading,"Address: Sheikh Zayed Road, 3rd Interchange - Dubai - United Arab Emirates ",Phone:  +971 4 338 4366,,http://www.ambatterjee.com/,
SINGAPORE TELECOMMUNICATIONS LIMITED,,,,,,
OLYMPIC AVIATION,Olympic Aviation,"Address: 16818 Marquardt Ave, Cerritos, CA 90703, USA ",Phone:  +1 562-407-5375,5.0 1 Google review,http://www.ctcoa.com/,https://www.google.com/search?source=hp&ei=ey2SXIr7KuaUjwTIobH4Dw&q=OLYMPIC+AVIATION&oq=OLYMPIC+AVIATION&gs_l=psy-ab.3...1375.1561..1579...0.0..0.0.0.......0....1..gws-wiz.....0.#
FOR HUMANITARIAN CARE SPECIAL NE EDS ZAYED HIGHER ORGANIZATION,Zayed Higher Organization,"Address: Al Bateen Executive Airport, Old - Airport Road - Abu Dhabi - United Arab Emirates Hours: Closed ⋅ Opens 7AM Thu  ",Phone:  +971 2 305 6666,4.6 15 Google reviews,http://www.zho.ae/,https://www.google.com/search?source=hp&ei=my2SXNZ8g4-PBOy5nbAN&q=FOR+HUMANITARIAN+CARE+SPECIAL+NE+EDS+ZAYED+HIGHER+ORGANIZATION&oq=FOR+HUMANITARIAN+CARE+SPECIAL+NE+EDS+ZAYED+HIGHER+ORGANIZATION&gs_l=psy-ab.3...1413.1990..2011...0.0..0.0.0.......0....1..gws-wiz.....0.#
NESPRESSODUBAI MALL DUBAI AE,Nespresso,"International chain selling its own line of coffee, espresso makers & accessories for home brewing. Located in: The Dubai Mall Address: Shop 216, Ground Floor, The Dubai Mall, Near Waterfall، Downtown Dubai - Dubai - United Arab Emirates Hours: Open ⋅ Closes 11PM  ",Phone:  +971 4 339 9092,4.3 31 Google reviews,https://www.nespresso.com/,https://www.google.com/search?source=hp&ei=py2SXJT_GYWJjwStgpD4Dg&q=NESPRESSODUBAI+MALL+DUBAI+AE&oq=NESPRESSODUBAI+MALL+DUBAI+AE&gs_l=psy-ab.3...1574.1849..1872...0.0..0.0.0.......0....1..gws-wiz.....0.#
SOCAR TRADING MIDDLE EAST DMCC,,,,,,
COSTA THE RETREAT DUBAI AE,The Retreat Palm Dubai MGallery By Sofitel,"Address: East Crescent, The Palm Jumeirah - Dubai - United Arab Emirates ",Phone:  +971 4 524 7777,4.5 864 Google reviews,http://www.theretreatpalmdubai.com/,https://www.google.com/search?source=hp&ei=vy2SXMCHC6S_jwSW1ZnICA&q=COSTA+THE+RETREAT+DUBAI+AE&oq=COSTA+THE+RETREAT+DUBAI+AE&gs_l=psy-ab.3...1487.1762..1788...0.0..0.0.0.......0....1..gws-wiz.....0.#
DUBAI PARKS AND RESORTS PJSC,,,,,,
ARABIAN PARK HOTEL DUBAI AE,Arabian Park Hotel,"Address: Al Jadaf Street, Behind Latifa Hospital, Al Jadaf - Dubai - United Arab Emirates ",Phone:  +971 4 324 5999,"3.9 1,704 Google reviews",http://www.arabianparkhotel.com/,https://www.google.com/search?source=hp&ei=2C2SXNO-KuS_jwSIxpWQAw&q=ARABIAN+PARK+HOTEL+DUBAI+AE&oq=ARABIAN+PARK+HOTEL+DUBAI+AE&gs_l=psy-ab.3...1348.1640..1662...0.0..0.0.0.......0....1..gws-wiz.....0.#
PAPPAROTI CAFE DUBAI AE,,,,,,
DEIRA LINE ELECTRONICS DUBAI ARE,Deira Line Electronics,Address: Street # 20 - Dubai - United Arab Emirates ,Phone:  +971 4 272 6106,2.8 4 Google reviews,,https://www.google.com/search?source=hp&ei=_i2SXPX3HpzGjgSNjIjIAw&q=DEIRA+LINE+ELECTRONICS+DUBAI+ARE&oq=DEIRA+LINE+ELECTRONICS+DUBAI+ARE&gs_l=psy-ab.3...1413.1719..1740...0.0..0.0.0.......0....1..gws-wiz.....0.#
NANDOS UAE LLC DUBAI AE,,,,,,
HOME CENTRE GULF LLC DUBAI AE,,,,,,
INTERNAL REVENUE,,,,,,
MAESTRO TRADING DUBAI ARE,Maestro Trading,Address: Al Buteen Street - Dubai - United Arab Emirates ,Phone:  +971 4 229 1654,,,https://www.google.com/search?source=hp&ei=LC6SXLqFKoPGjgTP84SACg&q=MAESTRO+TRADING+DUBAI+ARE&oq=MAESTRO+TRADING+DUBAI+ARE&gs_l=psy-ab.3...1589.1971..1999...0.0..0.0.0.......0....1..gws-wiz.....0.#
JOHNSON CONTROLS,,,,,,
SHIMADZU CORPORATION,Shimadzu (Asia Pacific) Pvt Ltd,"Address: 4, Vaithyaram Street, T Nagar, C/O Spinco Biotech Pvt Ltd, T Nagar, Chennai, Tamil Nadu 600017 ",Phone:  044 2434 0174,3.0 1 Google review,http://www.shimadzu.in/,
HOLIDAY INN EXPRESS DUBAI AE,,,,,,
BIN SERAY PHARMACY DUBAI AE,LIFE Pharmacy - Bin Seray,"Address: Opp Sunrise Supermarket, Oud Mehta Road, Near Lamcy Plaza - Dubai - United Arab Emirates Hours: Open ⋅ Closes 1AM  ",Phone:  +971 4 335 5446,3.7 7 Google reviews,http://www.life-me.com/,https://www.google.com/search?source=hp&ei=aC6SXOXdNYHKjgSmvIvYDw&q=BIN+SERAY+PHARMACY+DUBAI+AE&oq=BIN+SERAY+PHARMACY+DUBAI+AE&gs_l=psy-ab.3...1464.1835..1865...0.0..0.0.0.......0....1..gws-wiz.....0.#
DUDGEON OFFSHORE WIND LIMITED,,,,,,
EMIRATES 1762198921 DUBAI AE,,,,,,
ABU DHABI JUDICIAL DEPARTMENT,,,,,,
RAND PHARMACY DUBAI AE,Rand Pharmacy,Address: 1 Sheikh Zayed Rd - Dubai - United Arab Emirates Hours: Open now · Add full hours  ,Phone:  +971 4 331 5780,2.5 2 Google reviews,,https://www.google.com/search?source=hp&ei=mC6SXJWTBeuijwSFvbKAAg&q=RAND+PHARMACY+DUBAI+AE&oq=RAND+PHARMACY+DUBAI+AE&gs_l=psy-ab.3...1879.2170..2201...0.0..0.0.0.......0....1..gws-wiz.....0.#
MOEVENPICK HOTELS DUBAI AE,Mövenpick Hotel Jumeirah Lakes Towers,"Address: Cluster A,Building 2، Jumeirah Lake Towers - Dubai - United Arab Emirates ",Phone:  +971 4 438 0000,"4.2 1,110 Google reviews",https://www.movenpick.com/en/middle-east/uae/dubai/dubai-jumeirah-lakes-towers/overview/?utm_source=google&utm_medium=local&utm_campaign=Glocal+Jumeirah,https://www.google.com/search?source=hp&ei=pC6SXOfqHsmmjwTXua_ADg&q=MOEVENPICK+HOTELS+DUBAI+AE&oq=MOEVENPICK+HOTELS+DUBAI+AE&gs_l=psy-ab.3...1472.1740..1763...0.0..0.0.0.......0....1..gws-wiz.....0.#
UNIVERSAL LUBRICANTS FZE,Universal Lubricants,Address: Sharjah - United Arab Emirates Hours: Open 24 hours  ,Phone:  +971 6 532 0131,4.0 32 Google reviews,http://www.unilube.ae/index.php?page=blending-plants&PlantID=1,https://www.google.com/search?source=hp&ei=sS6SXIe4DMLGjwTm2JOQCw&q=UNIVERSAL+LUBRICANTS+FZE&oq=UNIVERSAL+LUBRICANTS+FZE&gs_l=psy-ab.3...1466.1977..2014...0.0..0.0.0.......0....1..gws-wiz.....0.#
C CARD FZ LLC,,,,,,
THE DRAFT HOUSE DUBAI AE,The Draft House,,,4.3 22 Google reviews,,https://www.google.com/search?source=hp&ei=0i6SXPvKBcv8jwStv5GADA&q=THE+DRAFT+HOUSE+DUBAI+AE&oq=THE+DRAFT+HOUSE+DUBAI+AE&gs_l=psy-ab.3...1478.1692..1712...0.0..0.0.0.......0....1..gws-wiz.....0.#
KFC BAWABIT AL SHARQ DUBAI AE,,,,,,
UNION MEDICAL CENTRE DUBAI AE,"Aster Clinic, Karama (UMC)",Address: 35 4 B St - Dubai - United Arab Emirates Hours: Open ⋅ Closes 12AM  ,Phone:  +971 4 397 8828,3.7 132 Google reviews,http://asterclinic.ae/clinic/union-medical-centre-karama/,https://www.google.com/search?source=hp&ei=6S6SXLDRO9GfjgSEwYWQCw&q=UNION+MEDICAL+CENTRE+DUBAI+AE&oq=UNION+MEDICAL+CENTRE+DUBAI+AE&gs_l=psy-ab.3...1458.1904..1934...0.0..0.0.0.......0....1..gws-wiz.....0.#
MCDONALDSENOC 6001 AL DUBAI AE,,,,,,
